batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,3,1
2,0.0000,0.0000,5,1
3,0.0000,0.0000,7,1
4,0.0000,0.0000,9,1
5,0.0000,0.0000,10,2
6,0.4690,0.0000,11,2
