batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,5,2
2,-0.0000,0.0000,9,2
3,-0.0000,0.0000,10,2
4,-0.0000,0.0000,12,2
5,-0.0000,0.0000,13,2
6,-0.0000,0.0000,13,2
7,-0.0000,0.0000,14,3
8,-0.0000,0.0000,15,3
9,-0.0000,0.0000,16,2
10,-0.0000,0.0000,17,2
