batch,model,tokens_in,tokens_out,wall_clock_seconds
1,claude-opus-4-7,46055,5434,87.91
2,claude-opus-4-7,15976,1605,23.42
2,default,0,0,118.32
3,claude-opus-4-7,27689,2574,41.93
