batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,2,1
2,0.0000,0.0000,4,1
3,0.0000,0.0000,6,1
4,0.0000,0.0000,7,1
5,0.4690,0.0000,9,1
6,0.4138,0.0000,11,1
7,0.3712,0.0000,12,1
8,0.3373,0.0000,14,1
9,0.3095,0.0000,16,1
10,0.3590,0.0000,17,1
11,0.3346,0.0000,18,1
12,0.4154,0.0000,19,1
13,0.3924,0.0000,20,1
14,0.3720,0.0000,22,1
15,0.3538,0.0000,24,1
