batch,model,tokens_in,tokens_out,wall_clock_seconds
1,default,46300,18259,236.91
2,default,60029,20430,418.37
3,default,107784,19606,505.12
4,default,152527,20853,524.40
5,default,171450,20900,429.35
6,default,140411,16492,317.83
7,default,140270,17172,368.24
8,default,185617,22177,479.53
9,default,120314,13800,400.05
10,default,188681,22646,631.42
