batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,3,1
2,0.0000,0.0000,5,1
3,0.0000,0.0000,7,1
4,0.0000,0.0000,9,1
5,0.5817,0.0000,10,1
6,0.5153,0.0000,11,1
7,0.6908,0.0000,12,1
8,0.6398,0.0000,12,1
9,0.6643,0.0000,13,1
10,0.6257,0.0000,15,1
11,0.5914,0.0000,15,1
12,0.5607,0.0000,16,1
13,0.5341,0.0000,16,1
14,0.5492,0.0000,16,1
15,0.5259,0.0000,17,1
