batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,6,2
2,-0.0000,0.0000,11,2
3,-0.0000,0.0000,16,2
4,-0.0000,0.0000,20,2
5,-0.0000,0.0000,24,2
6,-0.0000,0.0000,27,2
7,-0.0000,0.0000,30,3
8,-0.0000,0.0000,32,3
9,-0.0000,0.0000,37,3
10,-0.0000,0.0000,40,3
