batch,model,tokens_in,tokens_out,wall_clock_seconds
1,default,39786,19394,243.62
2,default,64726,20168,233.04
3,default,106836,16971,203.34
4,default,145073,19024,236.88
5,default,172906,21561,264.84
6,default,141436,17301,210.31
7,default,186548,22117,278.93
8,default,193636,21568,262.23
9,default,198371,23382,261.45
10,default,166751,18727,207.57
