batch,best_score,mean_score,worst_score,num_improvements,timestamp
1,0.950332,0.950332,0.950332,1,1776881029.40
2,0.950424,0.937774,0.925125,2,1776881437.19
3,0.950424,0.950332,0.950332,1,1776881719.49
